Node_id,prediction,DC,BC,CC,EC,CEN,ECC,RAD,Conectivity_Score
CPX-1949,Up,0.15827338129496402,0.09123049866877649,0.5160683590570527,0.12615033310376259,0.6024335031126202,0.40000000000000036,0.6628437377818321,0.5978320751348599
PLCD1,Up,0.09784172661870505,0.10576017476603444,0.42443300419719177,0.07305407535261059,0.7778720996038484,0.40000000000000036,0.5761762022676917,0.4891272424788843
PRDM16,Up,0.16115107913669066,0.052331251541896905,0.45892395637261596,0.22402601698775426,0.7184493491794001,0.40000000000000036,0.6099309266258306,0.5174860857668856
CPX-7121,Up,0.0920863309352518,0.06116338567078968,0.504209034289326,0.05597558345226546,0.619128466327108,1,0.6521569138537728,0.44847034230846605
MEGF10,Up,0.07050359712230216,0.0028116840738447928,0.4184579460332154,0.16722076066975197,0.8047538200339559,0.40000000000000036,0.5701811546982927,0.4001172316307593
CPX-150,Up,0.5309352517985612,0.22068834113866984,0.7428501781590333,0.6507147634932865,0.2515563101301641,1,0.841913202137365,0.829013861175718
FKBP10,Up,0.08057553956834533,0.07350890417722408,0.3742858301287979,0.046720541197701186,0.9040747028862479,0.40000000000000036,0.5244363352013552,0.19103674428054562
ANTXR1,Up,0.04460431654676259,0.006754284199259714,0.3141600141763188,0.05451031565311452,0.9219015280135823,0.40000000000000036,0.4578391763325951,0.4457462334096137
GPC4,Up,0.008633093525179858,0.0007001063801837738,0.38451000718168094,0.016523932496282034,0.8155065082059989,0.40000000000000036,0.5352534862504887,0.022441626025626937
CPX-4663,Up,0.04316546762589928,0.014303056295854821,0.3687980772317092,0.022430371708508045,0.9108658743633278,0.40000000000000036,0.5185716147530299,0.45916716551920056
CPX-2643,Up,0.13525179856115105,0.043083733399983094,0.49862644223785857,0.2354665070118462,0.6378041878890776,0.40000000000000036,0.6470741561318909,0.3544618959441346
OPHN1,Up,0.04460431654676259,0.02706959108866607,0.3632281439001488,0.018185023558250427,0.9131295981890208,0.40000000000000036,0.5125765671836309,0.30979500575963326
ELOVL5,Up,0.041726618705035974,0.03069776664281464,0.3838903002658882,0.017460926463969698,0.8050367855121675,0.40000000000000036,0.5346018506451191,0.40220291235703454
CDC14A,Up,0.08057553956834533,0.08411934684835999,0.44369572511448907,0.04402913494479853,0.7238256932654216,0.40000000000000036,0.5952039619444807,0.6284911109076555
ELP1,Up,0.13093525179856116,0.02930899770207357,0.45892395637261596,0.21552164643032243,0.7184493491794001,0.40000000000000036,0.6099309266258306,0.3728258566545589
ZIC2,Up,0.04604316546762591,0.017710622775106464,0.4501297598753353,0.04966705997882663,0.7045840407470289,0.40000000000000036,0.6014596637560272,0.4002464082304691
LGR4,Up,0.0028776978417266183,0.0000008086177361206601,0.34333810564663403,0.008512719788225055,0.8735144312393888,0.40000000000000036,0.4908119379642901,0
GJB6,Up,0.047482014388489216,0.13141148270560205,0.3689196077321799,0.013526486530462714,0.8319185059422751,0.40000000000000036,0.5187019418741041,0.15755081010578265
SLC25A20,Up,0.05755395683453238,0.014380550143884804,0.389111094192959,0.016492489389596365,0.7509903791737407,0.40000000000000036,0.5400755897302227,0.4829032735709681
SLC2A10,Up,0.07338129496402879,0.05064177160516084,0.4191052595529996,0.048528558253239894,0.7818336162988115,0.40000000000000036,0.5708327903036623,0.4406209263250599
MTM1,Up,0.0748201438848921,0.025550500692490492,0.3634694846570736,0.05853132292715368,0.7962648556876061,0.40000000000000036,0.5128372214257788,0.3406629108482181
