Node_id,DEG,DC,BC,CC,EC,CEN,ECC,RAD,Target_group_score_normalized,Conectivity_score_topo
CPX-8763,Down,0.1852198316183348,0.0071573998899019,0.7360223991600315,0.2938240423995616,0.5974395448079659,0.75,0.8571563846408788,0.1,0.781582754968732
CPX-8769,Down,0.1562207670720299,0.0153341277131276,0.725422559503277,0.2296689819509805,0.6249407302038881,0.75,0.8492495620472515,0.1,0.761795881163811
CPX-8771,Down,0.2001870907390084,0.0227021442437363,0.7371834195074929,0.2954704424259277,0.5948316737790422,0.75,0.8580086170162398,0.1,0.783451913468544
CPX-8641,Down,0.2581852198316183,0.0210501234137116,0.7549811523963382,0.3754049864754908,0.5251303935514462,0.75,0.8707447564035795,0.1,0.8913260123378
CPX-8642,Down,0.2572497661365762,0.0219002646739209,0.7556593604024435,0.3693121689283172,0.5227596017069701,0.75,0.8712182188343355,0.1,0.92127233377402
EPHX1,Up,0.0720299345182413,0.0223247916970733,0.6509828199969044,0.0234275546030228,0.9054054054054054,0.6000000000000001,0.7864684437289902,0.1,0.923236513612664
SLC1A2,Up,0.1655753040224508,0.0399585777922399,0.7500668747213554,0.2458999216377533,0.5568990042674253,0.6000000000000001,0.8672884806590597,0.1,0.885064746063212
SLC4A4,Up,0.0383536014967259,0.0306745023703328,0.676804248129375,0.0195833797338502,0.8186344238975818,0.6000000000000001,0.8098101415652668,0.1,0.798422294816048
CPX-1795,Up,0.2853133769878391,0.0991603169280729,0.7786725909469593,0.3069940248398269,0.5668563300142248,0.75,0.8867951328062119,0.1,0.870995850058815
MTHFD1,Down,0.0898035547240411,0.0316725703172549,0.7019359145527371,0.0332928329584499,0.7370791844476055,0.6000000000000001,0.8308792197339142,0.1,0.732983810968093
PHGDH,Up,0.3788587464920486,0.1337027244223871,0.8275454992621741,0.6167034709780378,0.4155998103366524,0.75,0.9170020358884522,0.1,1.01495801837081
ACAD8,Down,0.0449017773620205,0.0025393834653628,0.6769131729299108,0.0182504180062575,0.784257942152679,0.6000000000000001,0.8099048340514181,0.1,0.650718667469957
CPX-2424,Up,0.2722170252572498,0.0637834874164327,0.7947094945677846,0.4434261060389092,0.5151730678046468,0.75,0.8971166137966954,0.1,0.793175602561985
CPX-2443,Up,0.2394761459307764,0.0395212610024372,0.7842625396233452,0.4090008435264192,0.5486012328117591,0.75,0.890440793523034,0.1,0.82723180947136
CPX-2455,Up,0.2722170252572498,0.0637834874164327,0.7947094945677846,0.4434261060389092,0.5151730678046468,0.75,0.8971166137966954,0.1,0.793175602561985
CPX-5641,Down,0.1702525724976613,0.1143108478479785,0.7610603456075274,0.0735747561945402,0.5232337600758653,0.6000000000000001,0.874958572037309,0.1,0.803652119311857
GJA1,Up,0.2853133769878391,0.1251972672170914,0.8532305507657978,0.4494112674774704,0.3430535798956851,0.75,0.9314899862695896,0.1,0.801979235221992
ANK2,Down,0.3292797006548176,0.1058752179675465,0.8270573198308918,0.6030039137594508,0.4170222854433381,0.75,0.9167179584299986,0.1,0.878992085520269
SOX2,Up,0.6510757717492984,0.4075000754769293,0.924802110817942,0.8852725303377764,0.1621621621621621,0.75,0.9676151697362816,0.1,0.845077655504863
ATG7,Down,0.3152478952291861,0.1081026471054285,0.8243825950607605,0.4905694285256197,0.424845898530109,0.75,0.9151555324085036,0.1,0.930561676585887
NOTCH2,Up,0.2245088868101029,0.0636590342222223,0.7984812529663029,0.3992354369397413,0.5033191085822665,0.75,0.8994839259504759,0.1,0.862304321830172
CPX-256,Up,0.2993451824134705,0.0928075376710267,0.8273827087636471,0.4751031192651422,0.4160739687055476,0.75,0.9169073434023012,0.1,0.888208603967288
CPX-1820,Up,0.117867165575304,0.0171105500981914,0.7150021249468764,0.1842323391384547,0.6872925557136084,0.6000000000000001,0.8412480469674731,0.1,0.671831943691376
IL17RD,Up,0.0439663236669784,0.0137016962725294,0.7024634655532359,0.0345851013895126,0.7287814129919393,0.6000000000000001,0.8313053359215946,0.1,0.703456240164038
USP8,Down,0.0757717492984097,0.0249049191664417,0.7615426398696361,0.0778354507342328,0.6244665718349929,0.75,0.8752899957388381,0.1,0.73253660615172
STIM1,Down,0.1534144059869036,0.0155659471184516,0.7176862042487843,0.3154099083417705,0.6768610715979138,0.6000000000000001,0.8433312816628001,0.1,0.813735097493339
PALLD,Up,0.029934518241347,0.0064127937437039,0.6751203852327449,0.022894847951746,0.8283546704599336,0.6000000000000001,0.8083424080299229,0.1,0.705925595965997
CPX-1804,Up,0.117867165575304,0.0119314859402111,0.6946899000743249,0.1981369741186942,0.7688477951635846,0.6000000000000001,0.8249609393494627,0.1,0.53337392044896
SH3PXD2B,Up,0.010289990645463,4.67802535039e-05,0.6317686819376643,0.0055803239456515,0.9556661925082978,0.6000000000000001,0.7678613702002747,0.1,0.677678131210136
WBP2,Down,0.0243217960710944,0.0046972246329186,0.7605786618444846,0.038964745565216,0.6277856804172594,0.75,0.8746271483357797,0.1,0.62805735477634
SLC9A3R1,Up,0.1047708138447146,0.0437313775191653,0.7735172413793104,0.1282568369531523,0.5839260312944523,0.75,0.8833862033047678,0.1,0.809209491977367
CPX-6175,Up,0.1796071094480823,0.0859380205786731,0.8008377760853009,0.0842834168447634,0.4959696538643907,0.75,0.9009516594858198,0.1,0.672625869313667
CPX-4101,Down,0.2076707202993452,0.047082318712008,0.7575648414985592,0.2662146941079281,0.5282124229492651,0.75,0.8725439136404527,0.1,0.903667293768518
CPX-909,Down,0.2076707202993452,0.047082318712008,0.7575648414985592,0.2662146941079281,0.5282124229492651,0.75,0.8725439136404527,0.1,0.903667293768518
