GO_term,Term_Name_Clean,Ontology
GO:0034599,Cellular Response To Oxidative Stress,Biological process
GO:0017015,Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway,Biological process
GO:0048015,Phosphatidylinositol-Mediated Signaling,Biological process
GO:0097553,Calcium Ion Transmembrane Import Into Cytosol,Biological process
GO:0035522,Monoubiquitinated Histone H2A Deubiquitination,Biological process
GO:0035521,Monoubiquitinated Histone Deubiquitination,Biological process
GO:0032508,DNA Duplex Unwinding,Biological process
GO:0035520,Monoubiquitinated Protein Deubiquitination,Biological process
GO:0007167,Enzyme-Linked Receptor Protein Signaling Pathway,Biological process
GO:0000302,Response To Reactive Oxygen Species,Biological process
GO:1903241,U2-type Prespliceosome Assembly,Biological process
GO:0072359,Circulatory System Development,Biological process
GO:2000573,Positive Regulation Of DNA Biosynthetic Process,Biological process
GO:0043068,Positive Regulation Of Programmed Cell Death,Biological process
GO:0010564,Regulation Of Cell Cycle Process,Biological process
GO:0034614,Cellular Response To Reactive Oxygen Species,Biological process
GO:0033138,Positive Regulation Of Peptidyl-Serine Phosphorylation,Biological process
GO:0043039,tRNA Aminoacylation,Biological process
GO:1903506,Regulation Of Nucleic Acid-Templated Transcription,Biological process
GO:0018393,Internal Peptidyl-Lysine Acetylation,Biological process
GO:0045621,Positive Regulation Of Lymphocyte Differentiation,Biological process
GO:0050821,Protein Stabilization,Biological process
GO:0042100,B Cell Proliferation,Biological process
GO:0032870,Cellular Response To Hormone Stimulus,Biological process
GO:0048732,Gland Development,Biological process
GO:0006367,Transcription Initiation At RNA Polymerase II Promoter,Biological process
GO:0043408,Regulation Of MAPK Cascade,Biological process
GO:2000026,Regulation Of Multicellular Organismal Development,Biological process
GO:0070897,Transcription Preinitiation Complex Assembly,Biological process
GO:0051093,Negative Regulation Of Developmental Process,Biological process
GO:0007187,"G Protein-Coupled Receptor Signaling Pathway, Coupled To Cyclic Nucleotide Second Messenger",Biological process
GO:0030097,Hemopoiesis,Biological process
GO:0042254,Ribosome Biogenesis,Biological process
GO:2001252,Positive Regulation Of Chromosome Organization,Biological process
GO:0050871,Positive Regulation Of B Cell Activation,Biological process
GO:0042789,mRNA Transcription By RNA Polymerase II,Biological process
GO:0060271,Cilium Assembly,Biological process
GO:0061024,Membrane Organization,Biological process
GO:0051123,RNA Polymerase II Preinitiation Complex Assembly,Biological process
GO:1901653,Cellular Response To Peptide,Biological process
GO:0031328,Positive Regulation Of Cellular Biosynthetic Process,Biological process
GO:0030003,Intracellular Monoatomic Cation Homeostasis,Biological process
GO:0042110,T Cell Activation,Biological process
GO:1900182,Positive Regulation Of Protein Localization To Nucleus,Biological process
GO:0031098,Stress-Activated Protein Kinase Signaling Cascade,Biological process
GO:0007399,Nervous System Development,Biological process
GO:0006941,Striated Muscle Contraction,Biological process
GO:0061337,Cardiac Conduction,Biological process
GO:0098930,Axonal Transport,Biological process
GO:0051169,Nuclear Transport,Biological process
GO:0043410,Positive Regulation Of MAPK Cascade,Biological process
GO:0071763,Nuclear Membrane Organization,Biological process
GO:0016578,Histone Deubiquitination,Biological process
GO:2000147,Positive Regulation Of Cell Motility,Biological process
GO:0040029,Epigenetic Regulation Of Gene Expression,Biological process
GO:0019221,Cytokine-Mediated Signaling Pathway,Biological process
