proteina,GO_term,Term_Name_Clean
CPX-1213,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1215,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1216,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1217,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1218,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1219,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1220,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1221,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1222,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1223,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1224,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1225,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1226,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1227,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1228,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-4084,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-4203,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-4206,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-4207,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-4223,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-4224,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-4225,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-4226,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-978,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
ATXN3,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-6263,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
