min_cluster_size,min_samples,cluster_selection_epsilon,alpha,Num Clusters (valid),Num Ruido,Porcentaje Ruido,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index
6,6,0.0,2.0,41,4136,76.73469387755102,0.6290051438328742,0.4734496987343826,913.2792827922175
70,20,0.0,1.5,5,4443,82.430426716141,0.6290013272242452,0.5188635212383002,1991.5353311206825
30,20,0.0,1.5,14,4181,77.569573283859,0.6284934145511393,0.4515537708258092,1337.4545304397993
20,7,0.0,2.0,18,4201,77.94063079777366,0.6281850813547272,0.5102809977297741,1074.4680875943088
50,40,0.0,2.0,6,4435,82.28200371057514,0.6281133192147912,0.48479763807134507,1075.8383797669474
50,30,0.0,1.0,8,4209,78.08905380333951,0.6278947989475869,0.5074187173809638,1744.9740071020958
10,4,0.0,2.0,39,4213,78.16326530612245,0.6276974172088283,0.5393439825117169,927.5873698691412
60,20,0.0,2.0,6,4440,82.3747680890538,0.6275755028468114,0.6150383278529018,1500.1253077751098
8,6,0.0,2.0,37,4150,76.99443413729128,0.6269278640551595,0.4773670878714061,936.5257422839228
40,20,0.0,1.5,11,4224,78.36734693877551,0.6264178331355499,0.4648641868107457,1278.378026070163
80,15,0.0,2.0,5,4514,83.74768089053804,0.6264065031636313,0.649351469903166,1821.2462900242606
90,15,0.0,2.0,5,4514,83.74768089053804,0.6264065031636313,0.649351469903166,1821.2462900242606
100,15,0.0,2.0,5,4514,83.74768089053804,0.6264065031636313,0.649351469903166,1821.2462900242606
6,6,0.0,1.5,55,4070,75.51020408163265,0.6251578191447461,0.5068367378267747,996.4516826397506
60,15,0.0,2.0,6,4444,82.44897959183673,0.6249434244229172,0.6233574585589613,1728.4918932538487
70,15,0.0,2.0,6,4444,82.44897959183673,0.6249434244229172,0.6233574585589613,1728.4918932538487
60,25,0.0,1.0,7,4253,78.90538033395175,0.6247955466168961,0.5086631161302945,1706.4835781277877
50,25,0.0,2.0,6,4390,81.44712430426716,0.6243710865481957,0.5169177547431496,1187.3050609757652
70,2,0.0,2.0,7,4390,81.44712430426716,0.6242691748742084,0.5519351866192035,1767.4064433261722
20,9,0.0,2.0,15,4265,79.12801484230056,0.6241304135123836,0.5294484012064158,1183.5401393242703
50,25,0.0,1.0,8,4200,77.92207792207793,0.6221901409039914,0.5075505427956601,1629.72727025579
20,8,0.0,2.0,15,4242,78.70129870129871,0.622145168115258,0.5434893533633451,1178.0516384757568
30,8,0.0,2.0,15,4242,78.70129870129871,0.622145168115258,0.5434893533633451,1178.0516384757568
30,7,0.0,2.0,15,4246,78.77551020408163,0.6220686892903129,0.5256897966570674,1227.0596551727479
40,10,0.0,1.5,12,4109,76.23376623376623,0.6207443790272474,0.5392098534572735,1311.0577922637124
12,6,0.0,2.0,31,4178,77.5139146567718,0.6203085286582316,0.49636536289432065,987.6372527729561
60,2,0.0,2.0,8,4327,80.278293135436,0.6190092402647032,0.5720302316000001,1610.425049685809
40,40,0.0,1.0,9,4146,76.92022263450835,0.6184851166867478,0.5576307854206719,1479.6016721416838
30,25,0.0,1.0,16,4118,76.40074211502782,0.6184658582464478,0.49663866855538236,1242.438797773824
50,6,0.0,2.0,10,4209,78.08905380333951,0.6174246385754197,0.57184683656523,1476.9060600219352
80,75,0.0,1.5,3,3972,73.69202226345084,0.6168742881239121,0.5559586957744829,2425.291708648945
90,75,0.0,1.5,3,3972,73.69202226345084,0.6168742881239121,0.5559586957744829,2425.291708648945
100,75,0.0,1.5,3,3972,73.69202226345084,0.6168742881239121,0.5559586957744829,2425.291708648945
150,75,0.0,1.5,3,3972,73.69202226345084,0.6168742881239121,0.5559586957744829,2425.291708648945
200,75,0.0,1.5,3,3972,73.69202226345084,0.6168742881239121,0.5559586957744829,2425.291708648945
60,25,0.0,2.0,5,4448,82.52319109461966,0.6164874319836977,0.547732831930466,1216.912632799034
10,6,0.0,2.0,33,4169,77.3469387755102,0.6161972835760036,0.48422501561709735,993.1227535725051
40,5,0.0,2.0,13,4145,76.90166975881262,0.6159540493707069,0.5692924678674767,1187.1094800035382
50,30,0.0,2.0,5,4453,82.61595547309834,0.6158363077796218,0.5396322221745505,1171.4595662656895
60,30,0.0,2.0,5,4453,82.61595547309834,0.6158363077796218,0.5396322221745505,1171.4595662656895
60,15,0.0,1.0,8,4172,77.40259740259741,0.6157663655106481,0.5458114493050996,1562.608368130667
100,100,0.0,1.0,3,3900,72.35621521335807,0.6154510905669636,0.5540313878058037,2661.5963847309986
150,100,0.0,1.0,3,3900,72.35621521335807,0.6154510905669636,0.5540313878058037,2661.5963847309986
50,10,0.0,1.5,11,4152,77.03153988868274,0.6152422596483995,0.5586505807228968,1367.8514162171005
80,15,0.0,1.5,6,4356,80.81632653061224,0.6151917265493059,0.6344197164051016,1723.5500888247245
20,15,0.0,1.5,17,4152,77.03153988868274,0.6150177977307699,0.49995795995578146,1072.1243614215398
40,15,0.0,1.5,10,4116,76.36363636363637,0.6149396392931666,0.5987656209328975,1467.1500656046608
40,8,0.0,2.0,13,4118,76.40074211502782,0.6148880127155523,0.5443839977030455,1370.4718058925953
90,15,0.0,1.5,5,4436,82.30055658627087,0.6148611714888684,0.6585573096498711,1871.271141215542
100,15,0.0,1.5,5,4436,82.30055658627087,0.6148611714888684,0.6585573096498711,1871.271141215542
50,50,0.0,1.5,6,4330,80.3339517625232,0.6144040503123616,0.5104057794312062,1222.6760311245139
8,5,0.0,2.0,40,4110,76.25231910946196,0.6142680427730534,0.5091594383456354,857.4166022180418
60,10,0.0,1.5,7,4248,78.81261595547309,0.6141327284453905,0.5449279261015033,1785.0166030702503
70,10,0.0,1.5,7,4248,78.81261595547309,0.6141327284453905,0.5449279261015033,1785.0166030702503
50,15,0.0,1.0,9,4117,76.38218923933209,0.6132379085059766,0.5420724983783006,1511.2905457976656
30,30,0.0,1.0,15,4097,76.01113172541744,0.6132344978093219,0.4708822357020461,1408.2091450423502
50,7,0.0,2.0,8,4298,79.74025974025975,0.6131384392987127,0.6012154798420454,1457.1501146981825
