eps,min_samples,Num Clusters (valid),Num Ruido,Porcentaje Ruido,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index
0.0391,4,7,245,4.545454545454546,-0.03128253038770031,1.045911174071836,9.300619330859146
0.0282,8,7,881,16.34508348794063,-0.03675510518914632,0.9415605146138049,43.832898281360016
0.0282,10,5,1023,18.979591836734695,-0.046527677235821886,1.0813427887929057,85.81996335758224
0.0282,30,7,1862,34.54545454545455,-0.06422670284947742,1.097224022777553,100.88915008041862
0.0391,6,4,334,6.196660482374768,-0.06731154004208693,1.2591985754189539,7.735801523301126
0.0228,12,7,1631,30.25974025974026,-0.08425094019334498,0.9504478005415962,79.39466360937921
0.0119,4,55,2294,42.560296846011134,-0.13701914223302944,0.9978714328183573,61.93354268871628
0.0228,18,9,1951,36.19666048237477,-0.14523783177568625,1.130371800407121,75.46248223144413
0.0337,6,5,515,9.554730983302411,-0.17187867011456337,1.1491792588774077,24.495613849623386
0.0282,6,8,751,13.933209647495362,-0.20269324549627013,1.1187193837374112,14.227918733872523
0.05,2,12,94,1.7439703153988868,-0.20337277537328707,1.0094417960413584,3.9365268991460467
0.0228,16,6,1838,34.10018552875696,-0.20716638221769385,1.3164030421769601,79.27824998322014
0.0337,4,17,384,7.124304267161411,-0.2085767143702194,1.0968281266013307,7.382212069300703
0.0228,6,17,1184,21.96660482374768,-0.22074327391657397,1.032681695041913,30.61915953683747
0.0446,2,10,140,2.5974025974025974,-0.23899679636034932,1.0721212017551205,3.662230415720522
0.0173,10,16,2117,39.27643784786642,-0.27569425120122265,1.1802689620338451,47.35451917287499
0.0391,2,20,194,3.599257884972171,-0.29216107274430386,0.9604169280223855,5.417903886130708
0.0173,8,20,1958,36.3265306122449,-0.3106178823326684,1.2159676123843173,38.08010294026695
0.0173,6,23,1761,32.67161410018553,-0.3141019099963971,1.1495498387673853,28.195998933009815
0.0119,2,248,1758,32.61595547309833,-0.3205158888703492,1.0167249545680377,13.200038670892955
0.0228,4,21,946,17.551020408163264,-0.32257915742017906,1.0659546698393698,14.907133798617856
0.0282,4,15,628,11.651205936920222,-0.32472150306376935,1.1360923890385441,6.741807018393377
0.0173,4,41,1469,27.254174397031537,-0.35084640592933414,1.0833307080746644,19.54422995154639
0.0337,2,41,289,5.361781076066791,-0.37815590514092323,1.041450921131277,4.6186312413241515
0.0173,2,174,1074,19.925788497217066,-0.4256990166383551,1.0683306425718302,7.487049720182926
0.0282,2,66,453,8.404452690166977,-0.4377488754536984,1.0025197873915799,4.303645897279294
0.0228,2,107,689,12.782931354359924,-0.45973562650349226,1.0300043782660429,5.9192193194971106
0.001,40,1,5324,98.77551020408163,,,
0.001,50,1,5324,98.77551020408163,,,
0.001,60,1,5324,98.77551020408163,,,
0.0064,100,1,5223,96.90166975881262,,,
0.0064,150,1,5239,97.19851576994434,,,
0.0173,200,1,5162,95.76994434137292,,,
0.0337,12,1,756,14.025974025974024,,,
0.0337,14,1,852,15.80705009276438,,,
0.0391,14,1,568,10.538033395176253,,,
0.0391,16,1,609,11.298701298701298,,,
0.0391,18,1,658,12.207792207792208,,,
0.0391,20,1,716,13.283858998144712,,,
0.0446,8,1,262,4.860853432282004,,,
0.0446,16,1,432,8.014842300556586,,,
0.0446,18,1,467,8.664192949907235,,,
0.0446,20,1,509,9.443413729128016,,,
0.05,10,1,210,3.896103896103896,,,
0.05,12,1,238,4.415584415584416,,,
0.05,14,1,281,5.213358070500928,,,
0.05,16,1,300,5.565862708719852,,,
0.05,18,1,340,6.307977736549166,,,
0.05,20,1,348,6.456400742115028,,,
0.05,30,1,491,9.109461966604822,,,
0.0667,6,1,53,0.9833024118738404,,,
0.0667,8,1,59,1.0946196660482375,,,
0.0667,10,1,69,1.280148423005566,,,
0.0667,12,1,75,1.391465677179963,,,
0.0667,14,1,85,1.5769944341372915,,,
0.0667,16,1,96,1.7810760667903527,,,
0.0667,18,1,107,1.985157699443414,,,
0.0667,20,1,116,2.152133580705009,,,
0.0667,30,1,190,3.525046382189239,,,
0.0667,40,1,276,5.120593692022264,,,
0.0667,50,1,337,6.252319109461967,,,
0.0667,60,1,397,7.365491651205937,,,
0.0667,80,1,549,10.185528756957329,,,
0.0667,90,1,695,12.894248608534323,,,
0.0667,100,1,826,15.324675324675324,,,
0.0833,6,1,29,0.5380333951762523,,,
0.0833,8,1,30,0.5565862708719851,,,
0.0833,10,1,31,0.575139146567718,,,
0.0833,12,1,32,0.5936920222634509,,,
0.0833,14,1,35,0.6493506493506493,,,
0.0833,16,1,40,0.7421150278293136,,,
0.0833,18,1,40,0.7421150278293136,,,
0.0833,20,1,44,0.8163265306122449,,,
0.0833,30,1,58,1.0760667903525045,,,
0.0833,40,1,94,1.7439703153988868,,,
0.0833,50,1,124,2.300556586270872,,,
0.0833,60,1,162,3.00556586270872,,,
0.0833,70,1,218,4.044526901669759,,,
0.0833,80,1,249,4.619666048237477,,,
0.0833,90,1,312,5.788497217068646,,,
0.0833,100,1,346,6.419294990723562,,,
0.0833,150,1,739,13.710575139146567,,,
0.1,4,1,11,0.20408163265306123,,,
0.1,6,1,13,0.24118738404452691,,,
0.1,8,1,13,0.24118738404452691,,,
0.1,10,1,14,0.2597402597402597,,,
0.1,12,1,14,0.2597402597402597,,,
0.1,14,1,19,0.35250463821892397,,,
0.1,16,1,19,0.35250463821892397,,,
0.1,18,1,20,0.3710575139146568,,,
0.1,20,1,22,0.40816326530612246,,,
0.1,30,1,29,0.5380333951762523,,,
0.1,40,1,36,0.6679035250463822,,,
0.1,50,1,48,0.8905380333951763,,,
0.1,60,1,74,1.37291280148423,,,
0.1,70,1,88,1.6326530612244898,,,
0.1,80,1,104,1.9294990723562153,,,
0.1,90,1,132,2.4489795918367347,,,
0.1,100,1,185,3.4322820037105752,,,
0.1,150,1,311,5.769944341372913,,,
