,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
18,0.30490714,-7.305529,-6.437982,3.3239958,-1.3936166,5.007068,-2.0897574,-3.870675,-4.610626,-0.7490702,-4.355406,-1.4527812,4.096331,5.1841836,0.5862272,2.466935,-10.207585,11.243571,-14.310851,-0.4746865,-1.4954184,3.789003,-3.5755668,-4.251215,5.708386,2.2131732,5.609614,-0.013521925,1.6347518,-1.270188,2.682801,-1.9253601,0.51493585,7.2350965,-2.4343715,-6.3921256,-1.7935188,3.4813068,-3.9258966,-4.5093102,-5.298937,0.2175155,-0.4996415,-1.3679371,2.0027864,2.3962648,-1.1594027,-0.48927402,-1.8957368,1.0934389,1.7794535,-2.188582,-3.4842587,3.7475998,3.1341708,-1.904306,-2.2109182,-2.442432,0.12544739,-10.062526,2.9363499,-1.4944566,9.063221,-3.596603
19,0.2966904,-7.4978743,-6.5046706,3.3615344,-1.4105182,4.9767594,-2.1346056,-3.8963943,-4.715271,-0.724298,-4.2210484,-1.4936061,4.156018,5.1386833,0.6092078,2.5001025,-10.439311,11.3983555,-14.504332,-0.43254524,-1.4610713,3.7736669,-3.639587,-4.285665,5.6900105,2.2980936,5.7409244,-0.12361862,1.6035169,-1.3080573,2.6694884,-1.9574091,0.56785005,7.355648,-2.3644786,-6.4143414,-1.7075931,3.4488099,-3.998467,-4.5489593,-5.4823217,0.20086414,-0.475503,-1.4004158,2.0403364,2.3819954,-1.2392083,-0.45992932,-1.8814112,1.1215253,1.7535031,-2.1678538,-3.470954,3.7838757,3.1143553,-1.7936343,-2.1394315,-2.5951586,0.184974,-10.056017,2.9225314,-1.562414,9.159767,-3.5679832
20,0.44892108,-7.1782756,-6.264641,3.4184208,-1.5208263,4.7402987,-2.2284544,-3.6564033,-4.399849,-0.7450543,-3.7954633,-1.478246,4.073316,4.741177,0.4495937,2.2402072,-10.045684,11.029339,-14.0633,-0.07359992,-1.4352747,3.5222034,-3.406079,-3.9799647,5.5041394,2.239558,5.658357,-0.17915474,1.4423072,-1.4581791,2.4434364,-1.8458871,0.5364458,7.061246,-2.141428,-6.093331,-1.5435084,3.548241,-3.944666,-4.3481197,-5.272005,0.20969263,-0.24192779,-1.3306236,1.9906225,2.3492594,-1.1266913,-0.39566737,-1.7575334,0.94123954,1.6197568,-1.9758279,-3.489873,3.61236,2.7048671,-1.4627993,-1.8465111,-2.483234,-0.0071993545,-9.366746,2.6508222,-1.9714707,8.956517,-3.2801676
21,0.47265902,-7.383434,-6.285893,3.3253782,-1.2741519,4.825794,-2.0033534,-3.7495878,-4.486027,-0.76810354,-3.788235,-1.427117,4.2558246,5.1636963,0.6409191,2.5192869,-10.56189,11.2416315,-14.42305,-0.41124457,-1.2534181,3.6425927,-3.5110378,-4.3228736,5.6058307,2.3438156,5.571654,-0.29843757,1.6006662,-1.1936193,2.5456884,-1.9676445,0.59146714,7.2530594,-2.0206964,-6.3777447,-1.5312825,3.4459186,-4.0081506,-4.4530973,-5.437119,0.33097303,-0.5182482,-1.3908854,1.8570998,2.2106862,-1.2022284,-0.3409849,-1.9936297,1.1344682,1.686527,-2.1048636,-3.4161527,3.8042936,3.075303,-1.7634854,-2.0518339,-2.520997,0.051248875,-9.866078,2.8451934,-1.5930876,8.914553,-3.4788516
22,-1.1599817,-3.965336,-4.29831,2.7680945,-0.43148896,2.6051686,-1.1146413,-2.861401,-3.7512236,0.37345988,-4.6943073,-0.77624094,2.6203094,3.6725652,0.59366167,1.0815238,-6.357193,7.8409724,-9.031671,-0.40263474,-0.23646459,2.0070765,-2.3416445,-2.7502527,3.4625125,1.8691645,3.4833279,1.1740767,0.6232396,-1.6583295,2.1712804,0.23359641,-1.1934643,5.03245,-1.991089,-3.8935816,-1.1191062,2.1061738,-2.23427,-2.4062026,-3.2609336,-0.19407883,-0.3443786,-0.27884194,2.5862565,1.8012208,-1.1530639,-1.284546,-1.9329365,0.5140491,1.4822943,-0.63103116,-2.5895286,2.2039733,2.4530072,-0.8638303,-1.1554592,-1.5875384,0.96436787,-6.911123,2.0262394,-0.17144163,5.584308,-3.05696
23,-1.9919059,-9.602264,-7.216986,3.856053,-1.7317215,6.0753107,-1.9842988,-4.1411476,-6.612027,0.22549784,-6.5116706,-1.4123402,0.6054189,6.6002564,0.8327141,3.6125476,-12.685519,12.935721,-16.124634,-3.1959026,-2.102932,5.8074746,-5.3697405,-5.9512544,6.8599668,1.0157005,7.130268,-1.3223569,1.4960564,-1.0662597,3.6636364,-2.8123908,0.8724831,7.953404,-1.7056683,-7.4522524,-2.2319257,2.7360961,-4.3379107,-4.719571,-7.253895,0.05034727,-2.3266325,-2.583923,2.413312,3.0459929,-1.524512,0.19574569,-1.0280147,3.4903424,2.3635764,-4.0289707,-3.0008485,4.913893,4.3018694,-2.928942,-3.4547284,-3.187615,1.3405992,-11.664842,4.083542,0.061243508,10.153681,-5.1473527
24,1.6324551,-2.9447114,-1.552201,1.1675354,2.8057544,1.5390252,-0.54980713,-1.7132645,-0.6506204,-1.9364588,1.9604012,0.027122222,5.8608994,4.1507945,1.001685,1.8137084,-6.976196,5.483672,-7.486168,-0.2504773,1.167626,0.31906143,0.3738617,-3.3225849,2.8200152,1.7361528,0.76072615,-0.3317651,1.8087027,0.51778704,0.35690495,1.3496453,0.8703101,3.4355938,2.6609788,-4.127904,1.0226668,0.13504976,-1.7499045,-2.3210375,-2.6006937,1.1686313,-1.048221,-0.0018921494,-0.46342242,-0.39811918,-1.1672938,-1.2876518,-2.376937,0.7568021,0.11002437,-0.5868643,-1.9242597,1.9528974,2.3075197,-1.7727956,-0.90672565,-2.1762207,-0.9118731,-6.503562,1.4660405,0.04718814,1.8781102,-3.3223758
25,-0.83002365,-3.9794252,-3.447948,1.9197772,-0.97317207,2.4680533,-0.8547603,-1.2452466,-1.9756742,-0.969716,-2.1739888,-1.0303705,0.20788997,1.9530182,0.066485345,0.5824873,-2.9031682,5.099294,-4.832409,-0.881904,-1.6660908,1.8205863,-0.729177,-2.1433358,3.614405,1.638425,2.8853574,0.8635547,1.2837559,-0.13552405,1.4164058,0.688775,0.16977489,1.9747218,-0.6332978,-2.8902776,-1.1097345,1.2396985,-0.827447,-1.8451383,-1.3924694,0.9024118,0.5520168,-0.14340171,0.43616918,1.8357725,-1.0682476,0.25968924,0.21399164,0.43951416,1.3181754,-1.8220656,-2.9686396,1.5981941,0.51586217,-1.6754038,-1.4329052,-1.6360888,-0.29963908,-3.6935332,1.1088381,-0.6159312,3.6857705,-1.6732887
26,-4.5747414,-4.5292306,-3.844731,-0.0023761466,0.36943296,1.9042838,-0.3397445,-3.4725537,-5.204482,0.053137787,-12.244356,-1.3028035,-4.4233103,0.96003586,-1.9049816,-0.75538194,-0.883715,4.469806,-1.6295755,-2.816081,-3.1132274,2.904345,-1.9427481,-1.259826,3.019625,0.7589752,3.4833908,2.2366369,1.3936803,-1.9532335,4.636205,1.7849519,-0.9973711,1.4098663,-3.504176,-3.6121814,-1.8882586,-2.6946936,0.31405485,-1.2057055,-0.723544,-2.0877445,-2.5503595,-1.077869,1.3663757,3.004972,-2.1177788,-0.35097408,0.7341535,2.5614681,2.043003,-1.6955117,-0.7420322,1.4812075,1.0277028,-3.2925713,-2.8496478,-1.4267794,2.3798215,-6.2224827,3.2043128,3.6456547,1.8448349,-2.9841266
27,-0.32888195,-3.7495031,-3.106934,1.8686321,-0.6191535,2.9615958,-1.1222637,-0.8941932,-1.1413496,-1.701096,-1.0955765,-1.1533936,-0.16239016,1.9359028,-0.07989917,0.6209524,-1.9128106,4.346702,-4.3510485,-0.8181368,-1.6657509,1.5148273,0.042683274,-2.3003564,3.7584066,1.6203574,2.2288933,0.71878207,1.8263909,0.40537345,1.0628557,0.50596845,0.7284056,1.030407,-1.0991806,-2.7169921,-1.3256395,1.2640574,-0.41553742,-1.9542327,-0.87866116,1.3375832,0.95302296,-0.27814755,-0.2973115,2.475422,-1.1416914,-0.30118215,0.99166197,0.72881985,1.2618918,-2.662921,-3.2525516,1.5136944,0.23653139,-1.9781162,-1.795783,-1.902278,-0.8479212,-3.0504715,0.99849796,-0.4697557,3.2126396,-1.1908845
28,-1.11837,-6.9077215,-6.108923,3.3322635,-1.8038901,4.2550693,-1.5924317,-3.6826985,-5.0265446,0.6188219,-5.837064,-1.2668587,2.0564356,4.680261,0.55839324,2.1182568,-9.5777645,10.645641,-12.822017,-1.3835571,-1.3765585,3.7400784,-4.168005,-3.763107,4.9258504,1.7481426,5.6147394,0.094578445,0.812199,-1.5665871,3.2337677,-1.8109515,-0.2945902,6.6833105,-2.2423549,-5.6258273,-1.495492,2.6806288,-3.5211296,-3.3900642,-5.597059,-0.49268153,-0.7944527,-1.3663923,2.7694478,2.3509455,-1.1806824,-0.46727353,-1.69266,1.3563621,1.8537343,-1.5635755,-2.6850421,3.530359,3.0568454,-1.4553295,-1.8833275,-2.136981,1.028015,-8.937342,3.075951,-0.54517865,8.141525,-3.9402044
29,-1.5073111,-4.3468013,-3.613409,1.7548958,-0.09013421,2.622461,-1.0735596,-1.8904757,-2.6460712,-0.93874913,-4.6933737,-1.0103264,-0.25079852,2.050264,0.047470767,0.83985627,-2.92975,5.5953093,-5.0158033,-1.3649805,-1.8618469,2.7323334,-0.96676034,-2.11206,3.4804804,1.1552969,3.2597234,0.62096906,1.3392076,-0.40863484,2.5189507,0.72220623,0.42064044,2.4154906,-1.1547807,-3.326495,-1.4049708,-0.037418634,-0.9273468,-2.3391557,-1.5130584,0.1195467,-0.84472376,-0.6869539,0.75962615,1.782389,-1.3014501,-0.5045301,0.2847568,1.4317018,1.4366441,-2.3726776,-2.409231,1.587662,1.0996022,-1.9015626,-1.6424267,-1.5000281,0.37233052,-5.0251365,2.0693722,0.96790034,4.257292,-2.1842427
